district_name,real_estate_type,real_estate_area,total_rooms,number_of_parking,real_estate_age,price,facilities,floor
محله,آپارتمان,95,2,1,18,15000000000,"آسانسور,انباری,بالکن,سرایداری,لابی",2
ستارخان,آپارتمان,92,2,1,1,11500000000,"آسانسور,انباری,بالکن",2
ستارخان,آپارتمان,108,3,1,12,11880000000,"آسانسور,انباری,بالکن",3
ستارخان,آپارتمان,170,3,1,17,16000000000,"آسانسور,انباری,بالکن",3
ستارخان,آپارتمان,108,3,1,12,12300000000,"آسانسور,انباری,بالکن",3
سازمان برنامه جنوبی,آپارتمان,80,2,1,8,8500000000,"آسانسور,انباری,بالکن",2
سعادت آباد,آپارتمان,148,3,1,9,23750000000,"آسانسور,انباری,بالکن,سرایداری,سالن اجتماعات,لابی",3
شهرک غرب,آپارتمان,155,3,1,29,29250000000,"آسانسور,انباری,بالکن",3
ظفر,آپارتمان,72,2,2,12,8700000000,"آسانسور,انباری,بالکن",2
جنت آباد مرکزی,آپارتمان,600,6,3,32,توافقی,بالکن,6
جنت آباد جنوبی,آپارتمان,80,2,1,9,8200000000,"آسانسور,انباری,بالکن",2
یوسف آباد,آپارتمان,115,3,1,32,9800000000,"انباری,بالکن",3
نیاوران,آپارتمان,245,4,2,14,48000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,لابی,استخر,سونا,جکوزی,اتاق مستر",4
قیطریه,آپارتمان,165,3,1,11,20790000000,"آسانسور,انباری,بالکن,استخر,سونا,جکوزی",3
جردن,آپارتمان,170,3,1,20,20500000000,"آسانسور,انباری,بالکن,نگهبانی,استخر,سونا,جکوزی",3
یوسف آباد,آپارتمان,55,,1,10,7500000000,"آسانسور,انباری,بالکن,سرایداری,نورپردازی",
المهدی,آپارتمان,90,2,1,5,8500000000,"آسانسور,انباری,بالکن",2
دروس,آپارتمان,138,3,2,4,23000000000,"انباری,بالکن,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن",3
بلوار فردوس,آپارتمان,66,1,1,14,5800000000,"آسانسور,انباری,سرایداری,نگهبانی,لابی,پاسیو",1
دریاچه خلیج فارس,آپارتمان,100,2,2,0,1600000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,اتاق مستر,پاسیو",
شهران,آپارتمان,67,2,1,23,5800000000,انباری,2
الهیه,آپارتمان,200,3,1,7,49000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,آلاچیق,اتاق مستر,پاسیو",3
یوسف آباد,آپارتمان,240,3,1,32,توافقی,"انباری,بالکن",3
جردن,آپارتمان,193,,0,,25000000000,,
ظفر,آپارتمان,50,,0,,5500000000,,
بلوار فردوس,آپارتمان,50,1,1,16,5300000000,"آسانسور,انباری,بالکن",1
ولنجک,آپارتمان,160,3,1,22,28800000000,"آسانسور,انباری,بالکن,سرایداری",3
اباذر,آپارتمان,75,2,1,4,8000000000,"آسانسور,انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,85,2,1,16,7000000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق,پارکینگ مهمان,نورپردازی",2
آرژانتین,آپارتمان,149,3,1,6,21000000000,"آسانسور,انباری",3
آرژانتین,آپارتمان,125,2,1,22,11500000000,"آسانسور,انباری",2
آرژانتین,آپارتمان,170,3,1,24,21000000000,"آسانسور,انباری",3
آرژانتین,آپارتمان,128,3,1,1400,12500000000,"آسانسور,انباری",
آرژانتین,آپارتمان,81,3,0,1400,6600000000,"آسانسور,انباری",
آرژانتین,آپارتمان,51,,0,1401,5500000000,"آسانسور,انباری",
ونک,آپارتمان,216,4,1,19,19500000000,"آسانسور,انباری",4
ونک,آپارتمان,150,3,1,20,16500000000,"آسانسور,انباری",3
آرژانتین,آپارتمان,115,2,0,17,11000000000,"آسانسور,انباری",2
ونک,آپارتمان,100,2,1,18,10000000000,"آسانسور,انباری",2
ونک,آپارتمان,245,4,1,24,1111111111,"آسانسور,انباری",
ونک,آپارتمان,200,3,1,16,28000000000,"آسانسور,انباری",3
ونک,آپارتمان,290,4,1,0,74500000000,"آسانسور,انباری",4
ونک,آپارتمان,85,2,1,15,11900000000,"آسانسور,انباری",2
